Year,Category,Amount
1999,Tuition/Fees,22228
2000,Tuition/Fees,23094
2001,Tuition/Fees,23995
2002,Tuition/Fees,24930
2003,Tuition/Fees,25902.27
2004,Tuition/Fees,27171.48123
2005,Tuition/Fees,28667
2006,Tuition/Fees,30194
2007,Tuition/Fees,31794
2008,Tuition/Fees,33479
2009,Tuition/Fees,35124
2010,Tuition/Fees,36683
2011,Tuition/Fees,38886
2012,Tuition/Fees,40809
2013,Tuition/Fees,42849
2014,Tuition/Fees,45377
2015,Tuition/Fees,46966
2016,Tuition/Fees,48376
2017,Tuition/Fees,49949
2018,Tuition/Fees,51447
2019,Tuition/Fees,52524
2020,Tuition/Fees,55000
1999,2020 1$ EQV,1.5534873949501904
2000,2020 1$ EQV,1.502967481080526
2001,2020 1$ EQV,1.462209041041024
2002,2020 1$ EQV,1.4386381338804015
2003,2020 1$ EQV,1.4065815221468452
2004,2020 1$ EQV,1.3700952902118082
2005,2020 1$ EQV,1.325197132135257
2006,2020 1$ EQV,1.2837847230639408
2007,2020 1$ EQV,1.2482323884171072
2008,2020 1$ EQV,1.202078001842757
2009,2020 1$ EQV,1.2063699978803288
2010,2020 1$ EQV,1.1869015287011058
2011,2020 1$ EQV,1.1505830470087155
2012,2020 1$ EQV,1.1272550675774031
2013,2020 1$ EQV,1.1109818542602057
2014,2020 1$ EQV,1.0932473309027562
2015,2020 1$ EQV,1.0919512106875375
2016,2020 1$ EQV,1.0783477141265783
2017,2020 1$ EQV,1.0558542749324697
2018,2020 1$ EQV,1.030680148445312
2019,2020 1$ EQV,1.0123368421765813
2020,2020 1$ EQV,1
1999,Inf/Adj,34530.91781495283
2000,Inf/Adj,34709.53100807367
2001,Inf/Adj,35085.70593977937
2002,Inf/Adj,35865.24867763841
2003,Inf/Adj,36433.65436365856
2004,Inf/Adj,37227.51846130155
2005,Inf/Adj,37989.42618692141
2006,Inf/Adj,38762.595928192626
2007,Inf/Adj,39686.3005573335
2008,Inf/Adj,40244.369423693664
2009,Inf/Adj,42372.53980554867
2010,Inf/Adj,43539.10877734266
2011,Inf/Adj,44741.57236598091
2012,Inf/Adj,46002.15205276624
2013,Inf/Adj,47604.46147319555
2014,Inf/Adj,49608.284134374364
2015,Inf/Adj,51284.58056115089
2016,Inf/Adj,52166.14901858735
2017,Inf/Adj,52738.86517860193
2018,Inf/Adj,53025.40159706597
2019,Inf/Adj,53171.980298482755
2020,Inf/Adj,55000
