Year,All,Inf_Adj_Tuition
1999,95737.4403,34530.91781495283
2000,98314.236,34709.53100807367
2001,96441.5043,35085.70593977937
2002,98782.2528,35865.24867763841
2003,101582.4007,36433.65436365856
2004,113327.8718,37227.51846130155
2005,113029.5358,37989.42618692141
2006,113745.9638,38762.59592819263
2007,118542.8022,39686.3005573335
2008,113222.1927,40244.369423693664
2009,114616.4448,42372.53980554867
2010,112913.3577,43539.10877734266
2011,112873.86,44741.57236598091
2012,112617.27,46002.15205276624
2013,117099.4,47604.46147319555
2014,116644.44,49608.28413437437
2015,118718.964,51284.58056115089
2016,114707.3974,52166.14901858735
2017,113941.1131,52738.86517860193
2018,110116.8959,53025.40159706597
2019,105279.2,53171.98029848276
2020,102411.45,55000.0
