Year,Endowment_Per_Student,Endowment_Per_Faculty
1999,263645,2865406.539
2000,299489,3286554.253
2001,279635,3057709.5
2002,254972,2721906.653
2003,234006,2535563.658
2004,265269,2877665.071
2005,300691,3182788.604
2006,325006,3344353.171
2007,366847,3722155.171
2008,367679,3694508.936
2009,261756,2799020.503
2010,293928,3065999.085
2011,336524,3647749.542
2012,321218,3382233.916
2013,350912,3605926.851
2014,401326,3968423.955
2015,417840,4235375.381
2016,397496,3858931.223
2017,426074,4102099.047
2018,459572,4321379.044
2019,485760,4395766.377
2020,456812,4484445.289
